1,1,9.99000999000999E-4,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
14,2,0.013986013986013986,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
15,1,0.014985014985014986,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
15,2,0.014985014985014986,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
16,1,0.015984015984015984,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
16,2,0.015984015984015984,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
17,1,0.016983016983016984,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
17,2,0.016983016983016984,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
18,1,0.017982017982017984,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
18,2,0.017982017982017984,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
19,1,0.01898101898101898,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
19,2,0.01898101898101898,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
20,1,0.01998001998001998,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
20,2,0.01998001998001998,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
21,1,0.02097902097902098,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
21,2,0.02097902097902098,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
22,1,0.02197802197802198,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
22,2,0.02197802197802198,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
23,1,0.022977022977022976,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
23,2,0.022977022977022976,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
24,1,0.023976023976023976,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
24,2,0.023976023976023976,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
25,1,0.024975024975024976,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
25,2,0.024975024975024976,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
26,1,0.025974025974025976,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
26,2,0.025974025974025976,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
27,1,0.026973026973026972,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
27,2,0.026973026973026972,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
28,1,0.027972027972027972,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
28,2,0.027972027972027972,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
29,1,0.028971028971028972,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
29,2,0.028971028971028972,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
30,1,0.029970029970029972,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
30,2,0.029970029970029972,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
31,1,0.030969030969030968,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
31,2,0.030969030969030968,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
32,1,0.03196803196803197,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
32,2,0.03196803196803197,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
33,1,0.03296703296703297,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
33,2,0.03296703296703297,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
34,1,0.03396603396603397,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
34,2,0.03396603396603397,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
35,1,0.03496503496503497,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
35,2,0.03496503496503497,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
36,1,0.03596403596403597,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
36,2,0.03596403596403597,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
37,1,0.03696303696303696,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
37,2,0.03696303696303696,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
38,1,0.03796203796203796,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
38,2,0.03796203796203796,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
39,1,0.03896103896103896,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
39,2,0.03896103896103896,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
40,1,0.03996003996003996,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
40,2,0.03996003996003996,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
41,1,0.04095904095904096,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
41,2,0.04095904095904096,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
42,1,0.04195804195804196,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
42,2,0.04195804195804196,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
43,1,0.04295704295704296,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
43,2,0.04295704295704296,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
44,1,0.04395604395604396,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
44,2,0.04395604395604396,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
45,1,0.04495504495504495,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
45,2,0.04495504495504495,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
46,1,0.04595404595404595,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
46,2,0.04595404595404595,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
47,1,0.04695304695304695,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
47,2,0.04695304695304695,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
48,1,0.04795204795204795,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
48,2,0.04795204795204795,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
49,1,0.04895104895104895,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
49,2,0.04895104895104895,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
50,1,0.04995004995004995,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
50,2,0.04995004995004995,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
51,1,0.05094905094905095,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
51,2,0.05094905094905095,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
52,1,0.05194805194805195,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
52,2,0.05194805194805195,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
53,1,0.052947052947052944,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
53,2,0.052947052947052944,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
54,1,0.053946053946053944,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
54,2,0.053946053946053944,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
55,1,0.054945054945054944,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
55,2,0.054945054945054944,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
56,1,0.055944055944055944,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
56,2,0.055944055944055944,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
57,1,0.056943056943056944,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
57,2,0.056943056943056944,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
58,1,0.057942057942057944,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
58,2,0.057942057942057944,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
59,1,0.058941058941058944,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
59,2,0.058941058941058944,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
60,1,0.059940059940059943,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
60,2,0.059940059940059943,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
61,1,0.060939060939060936,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
61,2,0.060939060939060936,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
62,1,0.061938061938061936,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
62,2,0.061938061938061936,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
63,1,0.06293706293706294,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
63,2,0.06293706293706294,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
64,1,0.06393606393606394,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
64,2,0.06393606393606394,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
65,1,0.06493506493506493,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
65,2,0.06493506493506493,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
66,1,0.06593406593406594,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
66,2,0.06593406593406594,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
67,1,0.06693306693306693,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
67,2,0.06693306693306693,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
68,1,0.06793206793206794,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
68,2,0.06793206793206794,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
69,1,0.06893106893106893,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
69,2,0.06893106893106893,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
70,1,0.06993006993006994,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
70,2,0.06993006993006994,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
71,1,0.07092907092907093,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
71,2,0.07092907092907093,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
72,1,0.07192807192807193,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
72,2,0.07192807192807193,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
73,1,0.07292707292707293,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
73,2,0.07292707292707293,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
74,1,0.07392607392607392,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
74,2,0.07392607392607392,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
75,1,0.07492507492507493,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
75,2,0.07492507492507493,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
76,1,0.07592407592407592,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
76,2,0.07592407592407592,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
77,1,0.07692307692307693,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
77,2,0.07692307692307693,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
78,1,0.07792207792207792,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
78,2,0.07792207792207792,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
79,1,0.07892107892107893,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
79,2,0.07892107892107893,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
80,1,0.07992007992007992,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
80,2,0.07992007992007992,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
81,1,0.08091908091908091,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
81,2,0.08091908091908091,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
82,1,0.08191808191808192,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
82,2,0.08191808191808192,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
83,1,0.08291708291708291,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
83,2,0.08291708291708291,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
84,1,0.08391608391608392,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
84,2,0.08391608391608392,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
85,1,0.08491508491508491,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
85,2,0.08491508491508491,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
86,1,0.08591408591408592,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
86,2,0.08591408591408592,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
87,1,0.08691308691308691,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
87,2,0.08691308691308691,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
88,1,0.08791208791208792,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
88,2,0.08791208791208792,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
89,1,0.08891108891108891,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
89,2,0.08891108891108891,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
90,1,0.0899100899100899,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
90,2,0.0899100899100899,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
91,1,0.09090909090909091,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
91,2,0.09090909090909091,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
92,1,0.0919080919080919,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
92,2,0.0919080919080919,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
93,1,0.09290709290709291,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
93,2,0.09290709290709291,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
94,1,0.0939060939060939,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
94,2,0.0939060939060939,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
95,1,0.09490509490509491,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
95,2,0.09490509490509491,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
96,1,0.0959040959040959,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
96,2,0.0959040959040959,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
97,1,0.0969030969030969,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
97,2,0.0969030969030969,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
98,1,0.0979020979020979,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
98,2,0.0979020979020979,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
99,1,0.0989010989010989,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
99,2,0.0989010989010989,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
100,1,0.0999000999000999,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
100,2,0.0999000999000999,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
101,1,0.1008991008991009,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
101,2,0.1008991008991009,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
102,1,0.1018981018981019,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
102,2,0.1018981018981019,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
103,1,0.1028971028971029,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
103,2,0.1028971028971029,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
104,1,0.1038961038961039,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
104,2,0.1038961038961039,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
105,1,0.1048951048951049,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
105,2,0.1048951048951049,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
106,1,0.10589410589410589,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
106,2,0.10589410589410589,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
107,1,0.1068931068931069,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
107,2,0.1068931068931069,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
108,1,0.10789210789210789,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
108,2,0.10789210789210789,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
109,1,0.1088911088911089,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
109,2,0.1088911088911089,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
110,1,0.10989010989010989,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
110,2,0.10989010989010989,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
111,1,0.1108891108891109,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
111,2,0.1108891108891109,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
112,1,0.11188811188811189,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
112,2,0.11188811188811189,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
113,1,0.11288711288711288,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
113,2,0.11288711288711288,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
114,1,0.11388611388611389,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
114,2,0.11388611388611389,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
115,1,0.11488511488511488,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d2])
115,2,0.11488511488511488,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
116,1,0.11588411588411589,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d2])
116,2,0.11588411588411589,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
117,1,0.11688311688311688,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d2])
117,2,0.11688311688311688,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
118,1,0.11788211788211789,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d2])
118,2,0.11788211788211789,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
119,1,0.11888111888111888,shimizu_agent@218,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d2])
119,2,0.11888111888111888,BoulwareNegotiationParty@219,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
